answer	qid
The girls	mc500.train.0.7
she	mc500.train.0.8
Alyssa enjoyed the restaurant's special.	mc500.train.0.9
soup	mc500.train.0.10
to a restaurant	mc500.train.0.11
to meet at Ellen 's house	mc500.train.0.12
Andrew had never been to the circus.	mc500.train.23.1
He had been watching TV all day.	mc500.train.23.2
Andrew had never been to the circus.	mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.4
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish."""	mc500.train.23.5
all day	mc500.train.23.6
the story	mc500.train.23.7
The circus was in town !	mc500.train.23.8
no	mc500.train.23.9
Andrew fed his goldfish some goldfish food.	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
lots of peanuts	mc500.train.23.12
at the circus	mc500.train.23.13
to the circus	mc500.train.23.14
The elephant even went down a slide!	mc500.train.23.15
to her back yard	mc500.train.18.1
at 8:30 AM	mc500.train.18.2
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.3
She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.	mc500.train.18.4
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.5
all of the flowers	mc500.train.18.6
where the best flowers were in her yard	mc500.train.18.7
to hide the flowers in a secret spot	mc500.train.18.8
Kelly gave her mother the flowers.	mc500.train.18.10
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.11
to her back yard	mc500.train.18.12
The red ones were big, the orange ones were small, and the green ones were in the middle.	mc500.train.18.13
them	mc500.train.18.14
Her mother's favorite was the red one.	mc500.train.18.15
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.16
The mouse said that the lion had aloud laughed because he thought that the mouse is extremely not able to help him.	fables-06-16
The mouse immediately began gnawing the rope of the net with the tooth of the mouse.	fables-06-17
The lion lost temper and seized the mouse with the paw of the lion.	fables-06-18
The lion	fables-06-19
some net	fables-06-20
The mouse said that -- if the lion were to free the mouse -- the mouse would repay kindness.	fables-06-25
The mouse recognized the voice of the lion.	fables-06-26
There once was a lion.	fables-06-27
because a mouse ran into the face of the lion	fables-06-28
The group of power lines began to be down over a city, and the fourth tree began to be down over the city.	blogs-03-16
Once, storm was occurring in Louisiana.	blogs-03-17
Depot	blogs-03-18
in Louisiana	blogs-03-19
The narrator	blogs-03-20
The oven began to be broken, and the fire extinguisher eliminated the fire.	blogs-06-16
The husband of the narrator	blogs-06-17
An oven broke because the broiler of the oven activated.	blogs-06-18
The house aired, and the husband of the narrator and the narrator cleaned the house in order for the house to be normal.	blogs-06-21
The husband of the narrator unsuccessfully tried to eliminate the fire.	blogs-06-22
The fox looked toward the crow and said that he saw a noble bird who was above him.	fables-01-14
The fox said that -- if the sweetness of the voice of the bird is equal to the fairness of the appearance of the bird -- the bird would be undoubtedly the queen of every bird.	fables-01-15
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.	fables-01-16
The crow was sitting on a branch of a tree.	fables-01-17
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.	fables-01-18
The lion didn't attack the bull because the lion feared sharp every horn of the bull.	fables-02-19
because the lion feared sharp every horn of the bull	fables-02-20
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-21
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-22
The lion began to be hungry and decided to attempt to kill the bull.	fables-02-23
The police fired a tear gas at the people and fired a bullet at the people, and the people smashed a window.	blogs-01-19
The people rebelled and created riot.	blogs-01-20
The police	blogs-01-21
The people rebelled and created riot.	blogs-01-22
The people burned a police car and threw a thing at a police.	blogs-01-23
The police	blogs-01-24
The stork attempted to drink some savory broth and failed.	fables-04-14
The stork attempted to drink some savory broth and failed.	fables-04-15
some soup	fables-04-16
The stork	fables-04-17
The narrator noticed that the ankle of the narrator was observed.	blogs-05-16
The narrator noticed that the ankle of the narrator was observed.	blogs-05-17
The narrator glanced around the group of students.	blogs-05-20
He	fables-05-14
The agriculturist lost a crop.	fables-05-15
The agriculturist lost a crop.	fables-05-16
The young man died on the spot of the yard of the narrator.	blogs-02-17
The narrator saw some bright flash in a group of trees that was above the narrator.	blogs-02-18
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him.	blogs-02-19
The narrator thought for the brother of the narrator to use the flashlight of the brother of the narrator.	blogs-02-20
in order	blogs-04-15
An eagle	fables-03-22
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-23
An eagle swooped toward a serpent and seized it in order for he to devour it.	fables-03-24
The eagle fought with the serpent, and the serpent coiled around him.	fables-03-25
A countryman who owned a drinking vessel	fables-03-26
in the drinking vessel	fables-03-27
He went over and yelled at Cindy for what she did.	mc500.train.25.2
Maxine	mc500.train.25.3
yes	mc500.train.0.18
Alyssa was happy to spend time with her friends again.	mc500.train.0.19
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.23
to bring home to the goldfish	mc500.train.23.24
them	mc500.train.18.22
in a hurry	mc500.train.18.23
by a Mouse running over his face	fables-06-10
to catch a big game	fables-06-11
The mouse began to be extremely frightened and piteously entreated the lion to spare it.	fables-06-12
the voice of the lion	fables-06-13
But the Mouse's chance came, after all.	fables-06-14
with its teeth	fables-06-15
with the paw of the lion	fables-06-21
the mouse	fables-06-22
Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.	fables-06-23
the ropes	fables-06-24
The narrator	blogs-03-10
An area of a neighborhood of the narrator	blogs-03-11
on the yard of a neighbor	blogs-03-12
The narrator stood up on a patio and watched a large tree.	blogs-03-13
The group of trees didn't fall on the house of the narrator.	blogs-03-14
My wife, our five children, and our dog, stayed in an area of the home where we felt safest.	blogs-03-15
because the broiler of the oven activated	blogs-06-10
The fire ascended to the ceiling of the house.	blogs-06-11
to the ceiling of the house	blogs-06-12
The narrator began to be excited because she had ordered the second oven.	blogs-06-13
So excited about my new range I ordered a few days ago.	blogs-06-14
my husband went to get a batch of cookies and found them in flames.	blogs-06-15
So excited about my new range I ordered a few days ago.	blogs-06-19
besides the range	blogs-06-20
There once was a crow.	fables-01-8
Some cheese was in the beak of the crow	fables-01-9
Fox	fables-01-10
A fox observed the crow and tried to discover how to get the cheese.	fables-01-11
that the beauty of the bird was incomparable	fables-01-12
There once was a crow.	fables-01-13
But, my dear friend, what in the world makes you wear those ugly horns?	fables-02-12
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-13
because the lion wanted to eat the bull	fables-02-14
A lion watched the bull and salivated because the lion wanted to eat the bull.	fables-02-15
because every horn of the bull was ugly	fables-02-16
The lion began to be hungry and decided to attempt to kill the bull.	fables-02-17
The lion succeeded in persuading the bull to remove every horn of the bull.	fables-02-18
The police	blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.	blogs-01-15
because it disagreed about a view	blogs-01-16
riot	blogs-01-17
to alleviate the violence	blogs-01-18
The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.	fables-04-9
The stork attempted to drink some savory broth and failed.	fables-04-10
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.	fables-04-11
A clever fox invited a stork to dine.	fables-04-12
some soup	fables-04-13
The narrator carefully stepped over the slip.	blogs-05-10
because the elastic of the slip was dysfunctional	blogs-05-11
The narrator	blogs-05-12
Ten years ago I was teaching a mixed class of 5th graders ESL.	blogs-05-13
Nervously I looked down to see that my underslip had somehow made its way to the floor.	blogs-05-14
No one, strangely, batted an eyelid.	blogs-05-15
at the front of a classroom	blogs-05-18
The narrator noticed that the ankle of the narrator was observed.	blogs-05-19
It quickly caught fire and was all burnt up, and the Farmer lost all his harvest.	fables-05-9
The agriculturist set a trap and caught the fox.	fables-05-10
The agriculturist kindled the fiber and freed the fox.	fables-05-11
because the fox ran into a field	fables-05-12
The corn ignited and burned completely.	fables-05-13
A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-13
on the front yard of a narrator	blogs-02-14
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man.	blogs-02-15
The narrator stayed with the young man and didn't aid him because the young man had broken the neck of the young man.	blogs-02-16
on the deck in order for Benjamin	blogs-04-10
The squirrel fell.	blogs-04-11
to drink the bowl 's water	blogs-04-12
to wait	blogs-04-13
a large steel bowl of water	blogs-04-14
Serpent	fables-03-13
Serpent	fables-03-14
Serpent	fables-03-15
Serpent	fables-03-16
The countryman decided to sip from the drinking vessel.	fables-03-17
Serpent	fables-03-18
The eagle escaped, and the countryman freed the eagle from the serpent.	fables-03-19
In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-20
Eagle	fables-03-21
in a beautiful pond	mc500.train.25.1
it start to thunder	mc500.train.111.2
Will got hungry and went inside to get a biscuit.	mc500.train.111.3
to the living room	mc500.train.111.4
some lemonade to drink	mc500.train.0.13
After eating, the ladies went back to Ellen's house to have fun.	mc500.train.0.14
yes	mc500.train.0.15
yes	mc500.train.0.16
Alyssa	mc500.train.0.21
to Ellen 's house to have fun	mc500.train.0.22
I think the newspaper is here	mc500.train.23.16
"""Yes, we can,' Andrew's dad said, 'but first you need to feed your goldfish."""	mc500.train.23.17
The elephant	mc500.train.23.18
The circus was in town!	mc500.train.23.19
it	mc500.train.23.20
Andrew and his dad went to the circus.	mc500.train.23.21
Andrew and his dad	mc500.train.23.22
to her back yard	mc500.train.18.9
After Kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.17
the flowers	mc500.train.18.18
Her mother's favorite was the red one.	mc500.train.18.19
Kelly was worried, so she hid them in a new spot that was up higher.	mc500.train.18.20
Kelly gave her mother the flowers.	mc500.train.18.21
